Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
422,3.544,7.034,13.967,27.72,56.31,99.079,163.22,237.63,302.814,350.084,3.547,7.075,13.945,27.676,56.025,99.15,162.983,237.332,300.402,349.636,2.517,5.013,9.958,19.344,39.172,68.688,117.366,178.208,256.975,290.19,2.528,5.02,9.985,19.265,39.495,68.729,116.921,178.859,255.287,290.204,3.56,7.112,14.096,27.791,58.114,103.606,178.217,272.222,363.748,430.002,3.564,7.1,14.126,27.775,58.041,103.563,177.842,271.267,364.861,429.953,3.448,6.883,13.605,27.047,56.233,103.115,184.111,275.852,420.546,528.159,3.457,6.88,13.701,26.905,56.414,103.441,184.698,296.447,420.8,529.53,3.706,7.464,14.793,29.316,62.967,116.472,209.017,335.862,466.713,571.455,3.729,7.45,14.827,29.463,63.039,115.91,209.271,335.498,466.185,567.592
423,3.534,7.087,13.916,27.74,56.152,98.917,162.864,237.815,302.595,348.885,3.554,7.081,13.976,27.512,56.51,98.469,163.018,236.951,300.902,350.552,2.519,5.003,10.046,19.407,39.473,69.367,117.528,179.742,255.385,289.618,2.539,4.982,9.999,19.364,39.224,69.244,116.951,178.548,255.195,291.063,3.564,7.079,14.131,27.872,58.321,104.273,179.595,271.548,364.671,430.805,3.558,7.109,14.14,27.817,58.231,104.07,178.285,271.346,363.895,430.396,3.462,6.858,13.713,26.96,56.619,102.946,183.258,297.984,421.454,528.458,3.441,6.887,13.717,26.896,56.685,103.212,184.073,298.146,422.208,527.191,3.725,7.418,14.844,29.407,63.153,116.699,209.677,336.943,465.634,567.664,3.739,7.452,14.831,29.382,63.14,116.239,209.791,335.568,465.379,572.419
424,3.536,7.064,13.988,27.564,56.547,98.599,163.147,237.243,301.761,349.353,3.544,7.063,13.962,27.538,56.513,99.401,163.199,236.625,303.481,350.723,2.53,4.993,10,19.399,39.302,69.335,117.871,180.16,256.995,290.663,2.532,5.017,9.998,19.392,39.593,69.222,118.133,179.403,257.705,289.832,3.573,7.143,14.124,27.705,58.103,104.334,179.041,272.478,366.342,431.313,3.569,7.145,14.106,27.757,57.887,103.693,178.24,273.151,364.383,431.992,3.451,6.87,13.688,26.97,56.664,103.337,184.26,277.968,424.526,529.58,3.446,6.883,13.622,27.066,56.412,103.703,184.263,296.633,423.735,530.251,3.724,7.44,14.852,29.321,63.065,116.321,210.167,334.68,468.969,572.035,3.736,7.432,14.825,29.318,63.153,116.732,210.954,335.836,465.574,569.681
425,3.539,7.088,13.955,27.742,56.537,99.463,163.25,238.858,304.347,352.054,3.536,7.057,13.994,27.603,56.344,99.156,163.66,238.301,302.762,351.21,2.529,5.015,10.005,19.358,39.376,69.037,117.489,180.447,256.648,291.502,2.542,5.003,10.073,19.439,39.526,68.938,117.294,179.881,256.851,292.229,3.562,7.096,14.082,27.811,58.389,104.069,179.189,273.83,366.584,432.41,3.545,7.141,14.137,27.915,58.288,103.636,179.581,273.244,363.84,434.825,3.445,6.841,13.657,26.98,56.43,103.804,185.264,297.427,425.048,531.51,3.459,6.869,13.642,26.955,56.763,103.852,184.974,299.037,424.606,529.686,3.736,7.47,14.899,29.478,63.072,116.879,210.531,337.35,466.987,570.547,3.711,7.444,14.898,29.282,63.135,116.048,209.702,338.053,468.491,573.664
426,3.558,7.042,14.026,27.648,56.46,99.156,163.2,238.463,304.634,351.012,3.544,7.036,13.928,27.71,56.176,99.131,163.605,237.961,304.179,353.43,2.538,5.037,10.012,19.485,39.402,69.362,117.734,180.377,259.038,291.887,2.536,5.021,10.007,19.45,39.39,69.092,118.275,180.533,256.993,292.882,3.556,7.123,14.186,27.8,58.017,104.08,179.522,273.114,365.646,435.23,3.563,7.103,14.102,27.939,58.191,104.498,179.332,273.423,366.029,436.226,3.461,6.855,13.648,27.08,56.368,103.765,184.973,307.193,423.426,533.297,3.458,6.838,13.634,26.982,56.713,103.717,185.503,298.127,425.749,530.289,3.706,7.465,14.803,29.465,63.194,116.616,210.022,335.875,469.5,571.53,3.733,7.44,14.787,29.438,63.244,116.817,210.687,335.951,468.949,571.327
427,3.536,7.049,14.001,27.624,56.42,99.506,164.058,237.877,304.497,354.091,3.559,7.049,13.987,27.733,56.194,99.421,164.581,238.719,303.809,354.275,2.543,5.046,10.021,19.539,39.436,69.31,117.717,181.07,257.254,292.978,2.531,5.048,10.066,19.499,39.477,69.276,118.463,181,259.211,292.319,3.557,7.118,14.158,27.8,58.02,104.715,179.123,273.622,367.376,435.183,3.545,7.105,14.139,27.835,58.097,104.598,180.33,272.844,368.009,434.5,3.47,6.844,13.684,27.182,56.712,103.624,184.686,309.68,426.017,532.657,3.475,6.887,13.68,27.054,56.626,103.558,185.708,298.014,426.586,534.904,3.74,7.469,14.893,29.293,63.275,116.573,210.638,338.095,470.073,573.814,3.707,7.409,14.911,29.298,63.048,116.735,209.768,337.357,467.972,576.668
428,3.544,7.041,13.97,27.822,56.253,99.274,163.629,239.568,305.15,354.206,3.561,7.102,14.047,27.811,56.58,99.388,164.008,240.186,306.191,353.84,2.553,5.027,10.049,19.456,39.61,69.561,118.619,181.765,258.303,292.3,2.554,5.037,10.031,19.547,39.575,69.633,118.863,180.606,258.594,291.838,3.569,7.158,14.083,27.84,58.372,104.325,179.961,274.685,367.314,438.345,3.575,7.141,14.177,27.963,58.03,104.149,179.161,273.761,366.981,434.512,3.46,6.896,13.662,27.146,56.43,103.379,185.164,299.067,427.459,531.859,3.474,6.894,13.687,27.179,56.916,104.121,185.196,297.976,428.535,533.849,3.741,7.409,14.85,29.26,62.76,116.911,210.537,338.472,471.838,574.614,3.732,7.409,14.906,29.371,63.221,116.773,209.853,336.753,471.634,574.735
429,3.558,7.056,14.057,27.629,56.783,99.657,164.58,238.755,305.3,353.992,3.548,7.083,14.059,27.64,56.769,99.246,163.973,239.358,304.819,356.198,2.539,5.055,10.043,19.43,39.627,69.609,118.673,181.248,258.509,293.698,2.538,5.022,10.067,19.505,39.808,69.677,118.462,180.67,259.269,293.071,3.566,7.117,14.094,27.838,58.571,104.309,180.143,275.449,369.262,435.533,3.557,7.119,14.109,27.854,58.191,104.152,179.971,275.979,367.383,438.75,3.449,6.851,13.639,27.206,56.523,104.347,186.109,300.684,428.546,535.09,3.451,6.852,13.671,27.014,56.532,103.871,184.818,299.053,428.194,536.146,3.727,7.446,14.819,29.49,62.875,116.201,210.076,338.381,470.67,576.303,3.718,7.444,14.884,29.436,62.84,117.01,210.589,338.271,471.137,577.172
430,3.555,7.067,14.019,27.615,56.513,99.42,165.121,240.069,305.624,355.351,3.559,7.106,14.017,27.622,56.398,99.271,164.689,239.471,306.098,355.261,2.545,5.032,10.12,19.605,39.931,70.058,118.844,182.142,260.524,294.36,2.539,5.035,10.116,19.484,39.928,69.629,119.235,181.439,261.047,293.103,3.566,7.117,14.143,27.789,58.195,104.836,180.921,275.993,369.466,438.983,3.549,7.1,14.205,27.799,58.515,104.32,179.539,276.555,369.807,440.121,3.452,6.867,13.703,27.058,56.85,104.398,185.592,298.737,428.727,534.845,3.457,6.885,13.747,27.079,56.521,104.315,186.277,300.307,427.239,534.603,3.726,7.437,14.886,29.378,63.044,117.02,210.882,338.935,474.272,580.003,3.721,7.475,14.909,29.251,62.956,117.18,211.737,337.128,474.314,575.454
431,3.539,7.105,13.965,27.691,56.424,100.071,164.591,240.537,307.565,356.048,3.563,7.108,14.029,27.856,56.523,99.324,165.163,239.51,307.787,355.526,2.559,5.031,10.132,19.56,39.876,70.146,118.866,182.592,261.575,295.767,2.543,5.056,10.129,19.49,39.853,70.041,118.5,181.244,260.742,295.243,3.562,7.12,14.153,27.851,58.249,104.336,179.814,274.53,371.162,438.361,3.554,7.145,14.156,27.971,58.571,105.084,180.075,276.474,368.402,439.557,3.475,6.856,13.653,27.086,56.801,104.523,186.224,279.447,428.579,534.982,3.454,6.896,13.655,27.037,56.876,104.437,185.952,300.351,429.102,535.505,3.723,7.447,14.876,29.273,63.276,116.392,211.973,339.059,473.92,581.505,3.737,7.472,14.791,29.505,62.995,116.558,211.324,339.547,471.644,581.331
432,3.557,7.077,14.045,27.699,56.632,100.175,165.798,240.663,308.722,357.03,3.545,7.093,13.955,27.745,56.52,100.063,165.58,239.931,307.514,358.041,2.558,5.056,10.119,19.572,39.722,69.98,118.733,182.243,260.923,294.317,2.549,5.063,10.167,19.547,39.966,69.85,119.411,182.287,262.041,294.214,3.573,7.161,14.117,27.811,58.18,104.272,180.694,276.729,370.957,438.841,3.553,7.112,14.21,27.988,58.378,105.031,181.444,275.708,370.961,441.93,3.466,6.908,13.664,27.233,57.076,104.495,185.052,299.672,428.784,538.723,3.458,6.888,13.761,27.038,56.829,104.166,186.648,300.479,430.279,537.129,3.726,7.415,14.807,29.399,63.29,117.275,211.651,339.622,473.445,578.819,3.729,7.446,14.836,29.296,62.913,116.499,211.547,338.549,474.663,577.651
433,3.549,7.367,14.079,27.841,56.824,100.2,165.964,240.61,306.863,357.234,3.546,7.083,14.031,27.846,56.752,99.553,165.071,241.687,308.247,359.03,2.551,5.052,10.116,19.591,40.03,70.257,119.562,183.065,261.754,297.18,2.56,5.057,10.156,19.556,40.086,70.268,119.673,182.951,260.62,296.774,3.557,7.12,14.171,27.968,58.455,105.045,181.101,276.705,369.328,439.101,3.567,7.132,14.21,27.958,58.277,104.376,180.922,276.869,371.773,441.388,3.46,6.89,13.791,27.12,57.083,103.951,186.843,309.984,432.305,541.172,3.463,6.915,13.792,27.286,56.826,103.932,186.192,300.159,431.305,540.704,3.721,7.474,14.847,29.286,63.209,116.742,211.15,341.031,474.636,583.889,3.728,7.426,14.812,29.343,63.379,117.261,211.117,341.295,476.683,579.479
434,3.539,7.106,13.977,27.663,56.688,99.479,166.003,241.225,309.716,358.073,3.566,7.119,13.986,27.802,56.506,99.736,165.043,241.548,308.918,359.238,2.566,5.069,10.147,19.559,39.912,69.939,119.111,183.587,261.96,297.353,2.563,5.053,10.123,19.665,40.02,70.221,119.417,183.61,262.963,297.133,3.572,7.163,14.124,27.838,58.251,105.185,181.762,277.534,372.401,439.785,3.586,7.168,14.19,28.018,58.618,105.058,181.26,278.114,371.012,440.662,3.47,6.886,13.739,27.19,56.847,103.886,187.043,301.985,431.09,539.442,3.482,6.873,13.748,27.162,57.014,104.446,186.593,301.658,432.254,538.001,3.722,7.433,14.812,29.509,62.865,116.544,212.391,339.872,474.958,580.529,3.736,7.425,14.839,29.364,63.102,116.615,211.661,341.807,475.338,582.83
435,3.543,7.09,14.011,27.744,56.824,100.138,166.435,241.4,308.192,358.051,3.557,7.073,14.001,27.743,56.69,100.193,165.631,242.355,309.384,357.488,2.556,5.061,10.135,19.663,40.098,70.423,120.137,182.94,262.4,298.449,2.575,5.065,10.205,19.631,39.877,70.4,120.286,183.732,263.1,297.112,3.58,7.17,14.189,28.047,58.329,104.879,181.545,276.941,371.503,442.264,3.557,7.127,14.202,28.069,58.52,104.996,180.525,277.236,371.553,443.499,3.465,6.923,13.737,27.225,56.715,103.997,186.017,302.504,430.493,540.709,3.483,6.896,13.719,27.101,56.798,104.788,186.312,301.553,430.953,541.658,3.73,7.414,14.905,29.391,63.388,117.465,211.457,340.035,474.857,585.018,3.74,7.477,14.919,29.377,63.181,116.936,211.018,341.704,476.956,581.586
436,3.568,7.108,13.995,27.823,56.874,99.807,165.512,242.659,309.787,361.497,3.558,7.119,14.053,27.929,56.573,100.195,165.712,241.533,310.107,359.258,2.566,5.083,10.173,19.757,40.085,70.179,120.231,183.967,263.643,298.406,2.576,5.094,10.144,19.626,39.922,70.368,120.15,182.977,263.525,298.795,3.586,7.124,14.186,28.093,58.706,105.348,181.167,278.09,371.751,444.068,3.579,7.15,14.218,27.887,58.468,104.82,181.363,278.291,374.435,443.2,3.472,6.921,13.81,27.144,56.751,104.634,187.155,282.243,434.629,543.69,3.467,6.914,13.736,27.266,57.052,105.007,186.06,302.936,431.877,540.029,3.728,7.462,14.861,29.38,63.426,117.189,211.51,341.93,476.915,584.878,3.72,7.438,14.839,29.382,63.376,116.87,212.263,342.589,478.298,587.003
437,3.573,7.117,14.095,27.796,56.729,100.237,166.289,242.244,309.622,361.397,3.554,7.097,14.05,27.742,56.676,100.559,165.728,243.217,309.313,361.661,2.565,5.085,10.142,19.67,40.326,70.323,120.487,184.007,263.247,297.654,2.579,5.094,10.23,19.646,39.975,70.375,119.806,184.568,262.621,298.296,3.575,7.157,14.139,27.961,58.728,105.268,181.271,277.271,373.218,445.59,3.563,7.163,14.193,28.02,58.591,105.612,181.841,277.783,374.184,443.393,3.493,6.912,13.718,27.3,57.004,104.152,187.672,282.707,434.881,541.372,3.492,6.926,13.764,27.214,57.124,104.806,186.069,301.954,433.276,543.025,3.711,7.477,14.847,29.331,63.258,117.129,212.882,342.38,477.825,586.199,3.729,7.459,14.836,29.348,62.904,117.124,212.366,343.116,479.759,584.877
438,3.547,7.129,14.109,27.72,57.091,100.182,166.578,242.741,311.438,361.789,3.556,7.116,14.022,27.927,56.744,100.321,166.25,242.109,312.255,362.035,2.575,5.12,10.236,19.653,40.286,70.434,120.633,183.575,262.985,299.221,2.583,5.092,10.179,19.803,40.278,70.324,119.998,184.656,263.711,299,3.574,7.158,14.243,28.06,58.621,105.417,182.573,279.626,373.292,446.26,3.567,7.147,14.171,27.914,58.81,105.414,182.169,279.018,373.62,445.882,3.492,6.882,13.784,27.332,56.861,104.712,187.591,283.204,432.41,546.465,3.476,6.912,13.747,27.337,56.997,104.617,187.582,302.249,432.153,543.793,3.717,7.464,14.864,29.506,63.046,117.672,213.077,341.69,480.807,587.927,3.741,7.442,14.9,29.314,63.162,117.49,211.628,340.974,478.034,587.203
439,3.563,7.103,14.009,27.941,56.745,100.44,166.681,242.999,312.64,362.288,3.556,7.106,14.06,27.784,57.033,100.213,166.081,243.227,310.49,361.383,2.581,5.101,10.185,19.805,40.339,70.635,120.384,184.896,265.137,299.157,2.588,5.125,10.172,19.846,40.083,70.495,120.811,184.285,264.309,299.54,3.58,7.143,14.153,28.044,58.888,105.111,181.754,279.672,374.015,444.474,3.575,7.146,14.143,27.986,58.695,104.943,181.63,279.447,374.983,447.811,3.481,6.903,13.765,27.326,57.347,104.752,186.932,284.216,436.164,543.523,3.495,6.924,13.799,27.234,57.153,104.552,186.909,304.596,435.532,546.774,3.735,7.479,14.802,29.399,63.469,117.483,212.493,341.373,477.977,587.966,3.734,7.415,14.93,29.346,62.977,117.648,212.389,343.893,478.6,586.774
440,3.558,7.119,14.087,27.951,56.746,100.567,167.035,242.733,311.235,364.128,3.575,7.105,14.072,27.912,57.008,100.522,166.314,244.32,312.756,363.696,2.592,5.099,10.177,19.807,40.175,70.55,120.353,185.711,264.353,299.21,2.593,5.107,10.228,19.788,40.397,71.055,120.835,185.309,264.572,299.603,3.587,7.134,14.268,28.109,58.741,105.195,182.372,278.898,376.288,445.15,3.568,7.171,14.272,28.163,58.569,105.863,183.016,278.95,376.533,445.822,3.479,6.887,13.744,27.166,57.354,104.875,187.033,303.961,435.046,545.868,3.481,6.942,13.814,27.313,57.022,104.455,187.14,305.495,437.168,547.623,3.716,7.46,14.839,29.542,63.091,116.791,211.922,342.235,482.315,589.799,3.729,7.446,14.813,29.447,63.14,117.474,212.776,341.82,479.427,586.77
441,3.565,7.116,14.086,27.772,57.076,100.927,167.026,243.554,313.935,362.938,3.572,7.134,14.05,27.967,57.154,100.394,166.679,244.702,311.76,362.511,2.576,5.119,10.258,19.83,40.308,71.117,121.353,186.096,265.098,300.9,2.583,5.095,10.25,19.855,40.421,70.682,120.45,185.122,266.791,300.54,3.594,7.16,14.23,28.013,58.865,105.736,182.404,279.604,375.829,447.966,3.563,7.152,14.201,28.099,58.983,105.226,181.928,281.089,375.399,449.975,3.489,6.902,13.806,27.245,56.974,105.102,188.418,314.512,435.393,547.726,3.478,6.908,13.798,27.265,57.302,105.213,187.885,304.81,437.907,545.572,3.713,7.469,14.869,29.453,63.026,117.491,213.744,343.125,480.38,591.084,3.729,7.456,14.81,29.405,63.199,117.056,212.035,343.752,482.59,591.363
442,3.564,7.126,14.023,27.931,56.866,100.299,166.76,244.935,312.595,365.192,3.572,7.111,14.132,27.882,56.963,100.756,166.989,244.153,313.525,364.062,2.597,5.125,10.21,19.796,40.585,71.141,121.418,185.566,265.958,302.074,2.597,5.136,10.244,19.78,40.592,70.718,121.206,186.438,265.464,301.94,3.569,7.167,14.26,27.981,58.749,105.084,182.574,279.478,376.448,449.443,3.571,7.17,14.271,28.131,58.817,105.789,182.289,279.392,377.111,450.761,3.471,6.901,13.731,27.308,57.434,105.076,187.217,315.368,436.689,549.264,3.484,6.942,13.78,27.181,57.147,104.958,187.052,304.378,436.875,546.248,3.724,7.421,14.901,29.344,63.362,117.747,212.759,343.78,482.085,591.814,3.742,7.43,14.889,29.401,63.285,117.058,213.895,343.481,479.95,593.983
443,3.55,7.127,14.058,27.78,56.862,100.334,167.656,245.168,313.7,364.849,3.55,7.122,14.139,27.889,56.961,100.669,167.365,245.627,313.447,364.349,2.592,5.132,10.284,19.918,40.369,71.044,121.862,185.184,265.904,301.451,2.586,5.143,10.261,19.859,40.417,71.033,120.964,185.677,267.306,303.091,3.589,7.181,14.291,27.977,58.74,106.087,182.307,281.131,377.999,451.693,3.585,7.145,14.273,28.083,58.742,105.448,182.583,279.981,377.207,449.34,3.472,6.9,13.759,27.318,57.128,105.323,187.426,304.756,438.987,551.382,3.479,6.931,13.828,27.369,57.358,104.803,187.448,305.518,437.509,550.448,3.731,7.454,14.839,29.443,63.547,117.668,212.564,344.425,483.861,592.498,3.741,7.478,14.923,29.565,63.472,117.406,212.737,343.438,483.427,594.721
444,3.567,7.123,14.11,27.962,56.881,100.741,168.097,244.852,313.184,366.842,3.571,7.122,14.06,27.97,57.15,100.598,167.032,246.432,315.002,366.089,2.587,5.124,10.245,19.893,40.639,71.345,121.97,186.64,268.341,301.696,2.594,5.13,10.315,19.954,40.681,70.968,122.102,185.658,266.717,301.93,3.585,7.195,14.228,28.065,58.989,106.187,183.188,282.153,376.961,449.038,3.579,7.152,14.224,28.121,58.581,105.977,182.848,281.595,378.755,449.832,3.479,6.916,13.861,27.215,57.291,105.616,188.902,324.961,438.25,551.274,3.49,6.952,13.768,27.3,57.503,105.071,188.075,305.134,437.85,552.08,3.738,7.474,14.941,29.415,63.29,117.493,214.275,343.966,481.367,595.979,3.713,7.429,14.933,29.574,63.281,117.382,213.509,343.204,482.917,594.152
445,3.579,7.092,14.121,27.991,57.121,100.698,167.817,246.816,313.918,367.862,3.555,7.142,14.113,27.994,57.121,101.354,167.735,246.314,315.086,366.14,2.596,5.123,10.259,19.835,40.505,71.444,122.035,185.837,268.511,304.312,2.606,5.139,10.298,19.855,40.551,71.543,121.582,187.267,267.526,303.917,3.573,7.154,14.226,28.177,59.018,105.776,183.108,282.206,377.381,449.924,3.582,7.185,14.272,28.078,59.095,105.638,182.924,282.666,379.802,451.368,3.48,6.911,13.773,27.452,57.186,105.048,187.979,326.192,438.136,552.123,3.495,6.908,13.794,27.413,57.067,105.281,189.247,306.128,437.565,549.426,3.731,7.458,14.9,29.519,63.201,117.137,214.353,345.637,482.857,593.399,3.712,7.432,14.875,29.462,63.313,117.818,213.928,345.423,485.944,595.639
446,3.583,7.13,14.045,27.901,57.089,101.288,167.474,245.945,315.636,365.774,3.569,7.148,14.121,27.972,57.112,101.419,168.549,245.255,315.281,367.353,2.597,5.163,10.268,19.863,40.574,71.483,122.288,186.183,269.075,304.548,2.607,5.139,10.34,19.959,40.67,71.239,121.673,186.666,269.302,305.006,3.587,7.179,14.268,28.105,58.889,105.535,184.227,280.629,378.916,452.16,3.584,7.169,14.187,28.021,58.797,105.559,184.335,282.857,378.843,454.098,3.491,6.964,13.86,27.365,57.298,105.561,188.324,306.103,438.367,552.172,3.478,6.95,13.835,27.42,57.375,105.469,188.372,306.707,438.828,553.186,3.723,7.425,14.888,29.535,63.582,117.925,214,345.591,486.437,594.559,3.727,7.475,14.931,29.581,63.33,118.057,214.208,346.312,486.04,593.384
447,3.581,7.122,14.091,27.966,57.287,100.781,168.013,245.865,316.426,366.775,3.586,7.127,14.074,27.997,57.061,100.675,168.843,247.129,316.541,369.139,2.607,5.175,10.291,20.038,40.561,71.574,121.885,186.776,268.431,305.153,2.593,5.132,10.332,19.88,40.723,71.232,122.678,186.603,269.833,303.554,3.579,7.176,14.246,28.168,58.84,106.313,183.185,282.159,378.858,454.591,3.59,7.198,14.24,28.208,58.781,105.825,184.378,281.506,380.993,455.168,3.502,6.914,13.887,27.472,57.611,105.849,189.332,307.99,442.401,551.542,3.502,6.967,13.867,27.45,57.521,105.599,188.909,306.02,440.506,552.229,3.719,7.472,14.899,29.392,63.35,117.647,212.928,344.898,485.689,597.408,3.717,7.442,14.906,29.449,63.144,117.841,213.352,344.496,484.741,595.355
448,3.564,7.102,14.104,28.031,57.468,101.123,168.881,246.959,317.846,369.195,3.576,7.116,14.109,27.872,57.316,101.436,167.682,246.485,315.41,368.757,2.604,5.14,10.363,19.962,40.725,71.441,122.713,187.405,269.721,304.533,2.605,5.144,10.316,20.032,40.634,71.606,122.121,188.305,269.566,305.732,3.588,7.163,14.267,28.197,58.754,106.454,183.868,281.691,382.084,455.86,3.588,7.193,14.231,28.012,58.83,105.658,183.837,283.929,381.912,454.304,3.499,6.923,13.792,27.395,57.466,105.507,188.962,296.817,443.338,554.95,3.485,6.948,13.811,27.465,57.323,105.674,189.867,308.4,442.786,555.635,3.715,7.452,14.83,29.475,63.062,117.658,213.448,346.507,487.419,595.491,3.738,7.423,14.925,29.41,63.405,118.095,213.296,345.413,484.295,597.729
449,3.558,7.143,14.068,28.078,57.174,101.31,169.275,246.421,318.287,368.076,3.56,7.157,14.103,27.957,57.045,101.271,169.274,246.769,317.27,369.181,2.62,5.16,10.36,20.01,40.796,71.872,121.989,187.347,268.586,305.995,2.62,5.162,10.33,20.062,40.796,71.682,123.036,187.327,270.567,305.647,3.6,7.188,14.215,28.051,59.023,106.015,183.738,283.12,379.823,455.718,3.576,7.195,14.285,28.268,59.127,105.984,184.093,282.695,379.976,454.129,3.482,6.958,13.882,27.428,57.234,106.058,189.073,296.667,442.437,555.116,3.502,6.925,13.803,27.321,57.212,106.047,189.551,307.627,442.575,557.616,3.714,7.459,14.869,29.38,63.404,118.183,214.027,346.272,487.984,600.246,3.746,7.47,14.879,29.342,63.121,117.813,213.597,347.239,485.97,601.382
450,3.577,7.304,14.062,28.094,57.399,101.302,168.884,246.973,317.807,371.704,3.576,7.145,14.121,27.864,57.249,101.646,169.347,247.276,317.84,369.151,2.616,5.156,10.383,20.021,40.75,71.694,123.24,187.822,271.216,307.83,2.614,5.168,10.336,20,40.671,71.694,122.831,188.788,269.358,306.748,3.59,7.149,14.244,28.205,58.831,106.373,184.969,283.697,382.603,456.817,3.59,7.172,14.301,28.097,59.157,106.104,184.902,284.558,380.754,456.848,3.491,6.934,13.81,27.484,57.325,105.895,189.479,297.964,441.55,555.554,3.5,6.921,13.851,27.35,57.68,105.951,189.026,307.922,443.616,559.036,3.744,7.425,14.947,29.544,63.168,117.579,214.199,347.665,489.209,600.708,3.715,7.457,14.904,29.481,63.127,117.448,214.101,347.426,486.105,600.71
